1,Gloria,82,42,83,13,55.00
2,Clio,5,28,97,96,56.00
3,Shellie,51,25,89,94,64.00
4,Liberty,55,52,87,50,61.00
5,Zane,17,45,6,35,25.00
6,Tiger,68,4,75,98,61.00
7,Brynne,40,78,2,35,38.00
8,Burton,74,97,69,25,66.00
9,Troy,65,87,45,38,58.00
10,Ifeoma,9,95,23,29,39.00
11,Joseph,17,30,100,95,60.00
12,Jesse,93,96,10,66,66.00
13,Hedley,65,55,56,41,54.00
14,Stewart,84,27,95,61,66.00
15,Keane,35,78,59,32,51.00
16,Adam,70,56,3,43,43.00
17,Caleb,86,67,9,27,47.00
18,Genevieve,31,3,27,52,28.00
19,Kieran,18,21,41,16,24.00
20,Charde,89,100,69,18,69.00
21,Joseph,27,11,45,77,40.00
22,Molly,72,65,92,24,63.00
23,Blossom,52,84,51,32,54.00
24,Samantha,65,61,76,29,57.00
25,TaShya,33,75,27,94,57.00
26,Maia,74,24,18,64,45.00
27,Hayden,15,75,27,59,44.00
28,Leo,86,42,6,38,43.00
29,Kirsten,100,26,76,96,74.00
30,Yoko,20,88,1,43,38.00
31,Ava,97,47,53,50,61.00
32,Brock,100,44,29,40,53.00
33,Vielka,22,89,16,92,54.00
34,Ryder,88,86,23,68,66.00
35,Quin,10,72,95,58,58.00
36,Wyoming,97,95,6,68,66.00
37,Igor,97,95,86,60,84.00
38,Timothy,28,59,22,48,39.00
39,Griffin,8,96,90,87,70.00
40,Petra,23,34,67,54,44.00
41,Nehru,72,47,19,92,57.00
42,Troy,95,66,18,75,63.00
43,Rose,79,95,78,77,82.00
44,Bruce,27,44,39,48,39.00
45,Paula,67,2,60,48,44.00
46,Hyatt,39,10,53,38,35.00
47,Lacota,45,80,98,87,77.00
48,Stephanie,61,69,70,82,70.00
49,Reuben,43,18,76,38,43.00
50,Caesar,14,6,97,20,34.00
51,Kirk,89,13,8,84,48.00
52,Vernon,3,46,7,38,23.00
53,Elvis,91,78,85,3,64.00
54,Faith,86,95,57,82,80.00
